"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"364     (R07.3) Other chest pain","53","62","115","0.13068181818182","0"
"365     (Z30.8) Other contraceptive management","0","115","115","0.13068181818182","0"
"366     (R56.8) Other and unspecified convulsions","69","46","115","0.13068181818182","0"
"367     (H72.9) Perforation of tympanic membrane, unspecified","62","52","114","0.12954545454545","0"
"368     (E79.9) Disorder of purine and pyrimidine metabolism, unspecified","49","64","113","0.12840909090909","0"
"369     (R00.2) Palpitations","32","79","111","0.12613636363636","0"
"370     (S00.9) Superficial injury of head, part unspecified","73","37","110","0.125","0"
"371     (I21.9) Acute myocardial infarction, unspecified","85","24","109","0.12386363636364","0"
"372     (R03.0) Elevated blood-pressure reading, without diagnosis of","42","66","108","0.12272727272727","0"
"373     (E78.9) Disorder of lipoprotein metabolism, unspecified","33","74","107","0.12159090909091","0"
"374     (M32.9) Systemic lupus erythematosus, unspecified","4","103","107","0.12159090909091","0"
"375     (L91.0) Keloid scar","23","84","107","0.12159090909091","0"
"376     (D50.9) Iron deficiency anaemia, unspecified","35","72","107","0.12159090909091","0"
"377     (C53.9) Malignant neoplasm of cervix uteri, unspecified","0","106","106","0.12045454545455","0"
"378     (E04.9) Nontoxic goitre, unspecified","10","96","106","0.12045454545455","0"
"379     (O99.8) Other specified diseases and conditions complicating pregnancy,","3","103","106","0.12045454545455","0"
"380     (J42) Unspecified chronic bronchitis","43","62","105","0.11931818181818","0"
"381     (D17.9) Benign lipomatous neoplasm, unspecified","55","50","105","0.11931818181818","0"
"382     (K25.7) Gastric ulcer, chronic without haemorrhage or perforation","37","67","104","0.11818181818182","0"
"383     (H52.5) Disorders of accommodation","44","60","104","0.11818181818182","0"
"384     (D25.9) Leiomyoma of uterus, unspecified","0","104","104","0.11818181818182","0"
"385     (J35.0) Chronic tonsillitis","40","64","104","0.11818181818182","0"
"386     (R20.2) Paraesthesia of skin","41","63","104","0.11818181818182","0"
"387     (I20.0) Unstable angina","55","48","103","0.11704545454545","0"
"388     (M15.9) Polyarthrosis, unspecified","19","84","103","0.11704545454545","0"
"389     (O80.9) Single spontaneous delivery, unspecified","2","99","101","0.11477272727273","0"
"390     (L02.1) Cutaneous abscess, furuncle and carbuncle of neck","47","51","98","0.11136363636364","0"
"391     (G47.9) Sleep disorder, unspecified","30","67","97","0.11022727272727","0"
"392     (Z20.1) Contact with and exposure to tuberculosis","50","46","96","0.10909090909091","0"
"393     (H02.9) Disorder of eyelid, unspecified","33","63","96","0.10909090909091","0"
"394     (J32.9) Chronic sinusitis, unspecified","37","59","96","0.10909090909091","0"
"395     (M51.8) Other specified intervertebral disc disorders","25","71","96","0.10909090909091","0"
"396     (E11.2) Non-insulin-dependent diabetes mellitus with renal complications","50","45","95","0.10795454545455","0"
"397     (K05.2) Acute periodontitis","35","60","95","0.10795454545455","0"
"398     (M10.9) Gout, unspecified","56","39","95","0.10795454545455","0"
"399     (L80) Vitiligo","23","71","94","0.10681818181818","0"
"400     (Z30.0) General counselling and advice on contraception","2","92","94","0.10681818181818","0"
"401     (I84.7) Unspecified thrombosed haemorrhoids","59","35","94","0.10681818181818","0"
"402     (O21.0) Mild hyperemesis gravidarum","0","93","93","0.10568181818182","0"
"403     (M79.13) Myalgia, forearm","34","58","92","0.10454545454545","0"
"404     (K31.9) Disease of stomach and duodenum, unspecified","27","65","92","0.10454545454545","0"
"405     (K29.5) Chronic gastritis, unspecified","30","62","92","0.10454545454545","0"
"406     (I84.4) External haemorrhoids with other complications","51","40","91","0.10340909090909","0"
"407     (J20.9) Acute bronchitis, unspecified","45","45","90","0.10227272727273","0"
"408     (E10.7) Insulin-dependent diabetes mellitus with multiple complications","32","58","90","0.10227272727273","0"
"409     (M51.0) Lumbar and other intervertebral disc disorders with myelopathy","31","59","90","0.10227272727273","0"
"410     (N76.0) Acute vaginitis","2","88","90","0.10227272727273","0"
"411     (J22) Unspecified acute lower respiratory infection","50","39","89","0.10113636363636","0"
"412     (H10.5) Blepharoconjunctivitis","35","54","89","0.10113636363636","0"
"413     (O41.0) Oligohydramnios","3","86","89","0.10113636363636","0"
"414     (H16.9) Keratitis, unspecified","37","51","88","0.1","0"
"415     (N89.4) Leukoplakia of vagina","1","87","88","0.1","0"
"416     (O99.0) Anaemia complicating pregnancy, childbirth and the","2","85","87","0.098863636363636","0"
"417     (M19.0) Primary arthrosis of other joints","32","54","86","0.097727272727273","0"
"418     (J30.3) Other allergic rhinitis","39","46","85","0.096590909090909","0"
"419     (L01.1) Impetiginization of other dermatoses","46","39","85","0.096590909090909","0"
"420     (O84.2) Multiple delivery, all by caesarean section","0","84","84","0.095454545454545","0"
"421     (J02.8) Acute pharyngitis due to other specified organisms","34","50","84","0.095454545454545","0"
"422     (L28.2) Other prurigo","45","39","84","0.095454545454545","0"
"423     (N60.2) Fibroadenosis of breast","1","83","84","0.095454545454545","0"
"424     (R50.1) Persistent fever","42","41","83","0.094318181818182","0"
"425     (S60.9) Superficial injury of wrist and hand, unspecified","62","21","83","0.094318181818182","0"
"426     (F32.9) Depressive episode, unspecified","20","63","83","0.094318181818182","0"
"427     (S99.9) Unspecified injury of ankle and foot","56","27","83","0.094318181818182","0"
"428     (I88.8) Other nonspecific lymphadenitis","36","46","82","0.093181818181818","0"
"429     (H81.8) Other disorders of vestibular function","24","58","82","0.093181818181818","0"
"430     (L20.8) Other atopic dermatitis","41","41","82","0.093181818181818","0"
"431     (B00.8) Other forms of herpesviral infection","41","41","82","0.093181818181818","0"
"432     (E03.9) Hypothyroidism, unspecified","6","75","81","0.092045454545455","0"
"433     (E14.8) Unspecified diabetes mellitus with unspecified complications","24","57","81","0.092045454545455","0"
"434     (Z30.1) Insertion of (intrauterine) contraceptive device","0","81","81","0.092045454545455","0"
"435     (L98.8) Other specified disorders of skin and subcutaneous tissue","48","33","81","0.092045454545455","0"
"436     (D69.6) Thrombocytopenia, unspecified","25","56","81","0.092045454545455","0"
"437     (D56.9) Thalassaemia, unspecified","31","50","81","0.092045454545455","0"
"438     (I13.9) Hypertensive heart and renal disease, unspecified","32","48","80","0.090909090909091","0"
"439     (M19.90) Arthrosis, unspecified, multiple sites","20","59","79","0.089772727272727","0"
"440     (I25.4) Coronary artery aneurysm","44","34","78","0.088636363636364","0"
"441     (O21.9) Vomiting of pregnancy, unspecified","1","77","78","0.088636363636364","0"
"442     (G43.0) Migraine without aura [common migraine]","20","58","78","0.088636363636364","0"
"443     (F20.8) Other schizophrenia","41","37","78","0.088636363636364","0"
"444     (N34.2) Other urethritis","69","8","77","0.0875","0"
"445     (J30.0) Vasomotor rhinitis","28","48","76","0.086363636363636","0"
"446     (H61.9) Disorder of external ear, unspecified","35","41","76","0.086363636363636","0"
"447     (E11.5) Non-insulin-dependent diabetes mellitus with peripheral circulatory","31","44","75","0.085227272727273","0"
"448     (H26.4) After-cataract","28","47","75","0.085227272727273","0"
"449     (B15.9) Hepatitis A without hepatic coma","45","30","75","0.085227272727273","0"
"450     (B35.1) Tinea unguium","24","50","74","0.084090909090909","0"
"451     (H01.9) Inflammation of eyelid, unspecified","36","38","74","0.084090909090909","0"
"452     (N80.9) Endometriosis, unspecified","1","73","74","0.084090909090909","0"
"453     (M25.57) Pain in joint, ankle and foot","27","47","74","0.084090909090909","0"
"454     (I84.1) Internal haemorrhoids with other complications","39","35","74","0.084090909090909","0"
"455     (H04.1) Other disorders of lacrimal gland","24","49","73","0.082954545454545","0"
"456     (K11.6) Mucocele of salivary gland","24","49","73","0.082954545454545","0"
"457     (K52.8) Other specified noninfective gastroenteritis and colitis","29","44","73","0.082954545454545","0"
"458     (H10.0) Mucopurulent conjunctivitis","45","28","73","0.082954545454545","0"
"459     (H93.9) Disorder of ear, unspecified","31","42","73","0.082954545454545","0"
"460     (O42.9) Premature rupture of membranes, unspecified","0","73","73","0.082954545454545","0"
"461     (T15.0) Foreign body in cornea","59","13","72","0.081818181818182","0"
"462     (M50.9) Cervical disc disorder, unspecified","21","51","72","0.081818181818182","0"
"463     (H15.9) Disorder of sclera, unspecified","40","31","71","0.080681818181818","0"
"464     (J35.3) Hypertrophy of tonsils with hypertrophy of adenoids","33","38","71","0.080681818181818","0"
"465     (R62.0) Delayed milestone","41","30","71","0.080681818181818","0"
"466     (R42) Dizziness and giddiness","24","47","71","0.080681818181818","0"
"467     (B00.1) Herpesviral vesicular dermatitis","24","47","71","0.080681818181818","0"
"468     (M67.4) Ganglion","24","47","71","0.080681818181818","0"
"469     (A16.9) Respiratory tuberculosis unspecified, without mention of","41","30","71","0.080681818181818","0"
"470     (F80.8) Other developmental disorders of speech and language","54","16","70","0.079545454545455","0"
"471     (M75.9) Shoulder lesion, unspecified","27","43","70","0.079545454545455","0"
"472     (S81.9) Open wound of lower leg, part unspecified","43","27","70","0.079545454545455","0"
"473     (Q90.9) Down`s syndrome, unspecified","27","42","69","0.078409090909091","0"
"474     (N04.9) Nephrotic syndrome, unspecified","29","40","69","0.078409090909091","0"
"475     (A15.6) Tuberculous pleurisy, confirmed bacteriologically and histologically","52","17","69","0.078409090909091","0"
"476     (I51.7) Cardiomegaly","24","45","69","0.078409090909091","0"
"477     (O03.4) Spontaneous abortion, incomplete, without complication","1","67","68","0.077272727272727","0"
"478     (L30.2) Cutaneous autosensitization","31","37","68","0.077272727272727","0"
"479     (I15.2) Hypertension secondary to endocrine disorders","17","51","68","0.077272727272727","0"
"480     (G47.0) Disorders of initiating and maintaining sleep [insomnias]","30","38","68","0.077272727272727","0"
"481     (J04.0) Acute laryngitis","23","44","67","0.076136363636364","0"
"482     (T15.9) Foreign body on external eye, part unspecified","49","18","67","0.076136363636364","0"
"483     (J34.0) Abscess, furuncle and carbuncle of nose","30","37","67","0.076136363636364","0"
"484     (A16.8) Other respiratory tuberculosis, without mention of bacteriological or","38","29","67","0.076136363636364","0"
"485     (A35) Other tetanus","4","63","67","0.076136363636364","0"
"486     (B35.2) Tinea manuum","27","39","66","0.075","0"
"487     (Q21.1) Atrial septal defect","23","43","66","0.075","0"
"488     (L30.0) Nummular dermatitis","23","43","66","0.075","0"
"489     (S05.9) Injury of eye and orbit, part unspecified","49","17","66","0.075","0"
"490     (Z24.0) Need for immunization against poliomyelitis","23","42","65","0.073863636363636","0"
"491     (G58.9) Mononeuropathy, unspecified","24","40","64","0.072727272727273","0"
"492     (K27.9) Peptic ulcer, unspecified as acute or chronic, without haemorrhage","19","46","65","0.073863636363636","0"
"493     (N30.9) Cystitis, unspecified","22","43","65","0.073863636363636","0"
"494     (B08.4) Enteroviral vesicular stomatitis with exanthem","31","34","65","0.073863636363636","0"
"495     (N89.3) Dysplasia of vagina, unspecified","2","63","65","0.073863636363636","0"
"496     (S01.9) Open wound of head, part unspecified","43","22","65","0.073863636363636","0"
"497     (N17.9) Acute renal failure, unspecified","39","26","65","0.073863636363636","0"
"498     (R07.1) Chest pain on breathing","30","34","64","0.072727272727273","0"
"499     (R55) Syncope and collapse","32","32","64","0.072727272727273","0"
"500     (J90) Pleural effusion, not elsewhere classified","39","24","63","0.071590909090909","0"
"501     (I48) Atrial fibrillation and flutter","29","34","63","0.071590909090909","0"
"502     (H04.8) Other disorders of lacrimal system","24","39","63","0.071590909090909","0"
"503     (I15.0) Renovascular hypertension","28","35","63","0.071590909090909","0"
"504     (A15.2) Tuberculosis of lung, confirmed histologically","41","21","62","0.070454545454545","0"
"505     (M54.9) Dorsalgia, unspecified","27","35","62","0.070454545454545","0"
"506     (H82) Vertiginous syndromes in diseases classified elsewhere","20","42","62","0.070454545454545","0"
